Ref;Arena Link;Category;Characteristics;Commodity Class;Created Date;Description;DXDB_LIBNAME;Effective Date;Footprint;Halogen Free;Manufacturer 1;Manufacturer 1 PN;Manufacturer 2;Manufacturer 2 PN;Manufacturer 3;Manufacturer 3 PN;Manufacturer 4;Manufacturer 4 PN;Manufacturer 5;Manufacturer 5 PN;Owner;Part Height;Part Status;Rating;Requestor;Revision;RoHS Compliant;Temperature Range;Tolerance;Value;Variant Variable Text;Voltage;Price
C1009;https://app.bom.com/a/HZI0J3M3M55TNBEX?v=files.associations;Capacitor;X5R;PAS - Passives;2014-03-16T19:32:12-08:00;CAP, 4.7uF, 6.3V, 20%, X5R, CERAMIC, 0402;Capacitor;2014-06-06T08:29:17-08:00;0402C;N/A;MURATA GRM155R60J475ME87D;GRM155R60J475ME87D;TAIYO YUDEN JMK105BBJ475MV-F;JMK105BBJ475MV-F;;;;;;;Morris Chau;0.65mm;Production;;King Au Yeung;1;N/A;-55 +85C;20%;4.7uF;DNI;6.3V;0.0
C1010;https://app.bom.com/a/UCVDWGZGZI1IUB6T?v=files.associations;Capacitor;X5R;PAS - Passives;2006-02-03T15:26:24-08:00;CAP, 2.2uF, 6.3V, 10%, X5R, CERAMIC, 0603;Capacitor;2011-12-02T13:52:33-08:00;0603C;N/A;TAIYO YUDEN CE JMK107BJ225KA-T;CE JMK107BJ225KA-T;MURATA GRM188R60J225KE19D;GRM188R60J225KE19D;;;;;;;Morris Chau;0.9mm;Production;;Mack Tan;2;N/A;-55 +85C;10%;2.2uF;;6.3V;0.0
C1011;https://app.bom.com/a/6O7P8SBSBUDMZMOD?v=files.associations;Capacitor;X5R;PAS - Passives;2009-03-11T13:25:27-08:00;CAP, 1uF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2014-03-12T04:39:29-08:00;0402C;N/A;MURATA GRM155R61A105KE15D;GRM155R61A105KE15D;TAIYO YUDEN LMK105BJ105KV-F;LMK105BJ105KV-F;;;;;;;Morris Chau;0.55mm;Production;;Kristi Eng;2;N/A;-55 +85C;10%;1uF;;10V;0.0
C1012;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C1013;https://app.bom.com/a/6O7P8SBSBUUI7096?v=files.associations;Capacitor;X5R;PAS - Passives;2014-03-26T03:32:53-08:00;CAP, 10uF, 10V, 20%, X5R, CERAMIC, 0603;Capacitor;2014-03-26T03:37:12-08:00;0603C;N/A;MURATA GRM188R61A106ME69D;GRM188R61A106ME69D;;;;;;;;;Morris Chau;0.95mm;Design;;Mohamed Ammari;A;N/A;-55 +85C;20%;10uF;;6.3V;0.0
C1014;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C1015;https://app.bom.com/a/DVEWFZIZI1I6KLAM?v=files.associations;Capacitor;X7R;PAS - Passives;2011-05-10T11:00:32-08:00;CAP, 470pF, 50V, 10%, X7R, CERAMIC, 0402;Capacitor;2015-06-16T18:03:21-08:00;0402C;;MURATA GRM155R71H471KA01D;GRM155R71H471KA01D;TAIYO YUDEN UMK105BJ471KV-F;UMK105BJ471KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +125C;10%;470pF;;50V;0.0
C1016;https://app.bom.com/a/6O7P8SBSBUDMZMOD?v=files.associations;Capacitor;X5R;PAS - Passives;2009-03-11T13:25:27-08:00;CAP, 1uF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2014-03-12T04:39:29-08:00;0402C;N/A;MURATA GRM155R61A105KE15D;GRM155R61A105KE15D;TAIYO YUDEN LMK105BJ105KV-F;LMK105BJ105KV-F;;;;;;;Morris Chau;0.55mm;Production;;Kristi Eng;2;N/A;-55 +85C;10%;1uF;;10V;0.0
C1017;https://app.bom.com/a/6O7P8SBSBUUI7096?v=files.associations;Capacitor;X5R;PAS - Passives;2014-03-26T03:32:53-08:00;CAP, 10uF, 10V, 20%, X5R, CERAMIC, 0603;Capacitor;2014-03-26T03:37:12-08:00;0603C;N/A;MURATA GRM188R61A106ME69D;GRM188R61A106ME69D;;;;;;;;;Morris Chau;0.95mm;Design;;Mohamed Ammari;A;N/A;-55 +85C;20%;10uF;;6.3V;0.0
C1018;https://app.bom.com/a/6O7P8SBSBUDMZMOD?v=files.associations;Capacitor;X5R;PAS - Passives;2009-03-11T13:25:27-08:00;CAP, 1uF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2014-03-12T04:39:29-08:00;0402C;N/A;MURATA GRM155R61A105KE15D;GRM155R61A105KE15D;TAIYO YUDEN LMK105BJ105KV-F;LMK105BJ105KV-F;;;;;;;Morris Chau;0.55mm;Production;;Kristi Eng;2;N/A;-55 +85C;10%;1uF;;10V;0.0
C1019;https://app.bom.com/a/J1K2L5O5O7OCQRFG?v=files.associations;Capacitor;C0G;PAS - Passives;2011-05-10T11:01:38-08:00;CAP, 100pF, 50V, 5%, C0G, CERAMIC, 0402;Capacitor;2014-04-28T09:22:48-08:00;0402C;;MURATA GRM1555C1H101JA01D;GRM1555C1H101JA01D;TAIYO YUDEN UMK105CG101JV-F;UMK105CG101JV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +125C;5%;100pF;;50V;0.0
C1020;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C1021;https://app.bom.com/a/6O7P8SBSBUDMZMOD?v=files.associations;Capacitor;X5R;PAS - Passives;2009-03-11T13:25:27-08:00;CAP, 1uF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2014-03-12T04:39:29-08:00;0402C;N/A;MURATA GRM155R61A105KE15D;GRM155R61A105KE15D;TAIYO YUDEN LMK105BJ105KV-F;LMK105BJ105KV-F;;;;;;;Morris Chau;0.55mm;Production;;Kristi Eng;2;N/A;-55 +85C;10%;1uF;;10V;0.0
C1022;https://app.bom.com/a/UCVDWGZGZI1IUB6T?v=files.associations;Capacitor;X5R;PAS - Passives;2006-02-03T15:26:24-08:00;CAP, 2.2uF, 6.3V, 10%, X5R, CERAMIC, 0603;Capacitor;2011-12-02T13:52:33-08:00;0603C;N/A;TAIYO YUDEN CE JMK107BJ225KA-T;CE JMK107BJ225KA-T;MURATA GRM188R60J225KE19D;GRM188R60J225KE19D;;;;;;;Morris Chau;0.9mm;Production;;Mack Tan;2;N/A;-55 +85C;10%;2.2uF;;6.3V;0.0
C1023;https://app.bom.com/a/UCVDWGZGZI1IUB6T?v=files.associations;Capacitor;X5R;PAS - Passives;2006-02-03T15:26:24-08:00;CAP, 2.2uF, 6.3V, 10%, X5R, CERAMIC, 0603;Capacitor;2011-12-02T13:52:33-08:00;0603C;N/A;TAIYO YUDEN CE JMK107BJ225KA-T;CE JMK107BJ225KA-T;MURATA GRM188R60J225KE19D;GRM188R60J225KE19D;;;;;;;Morris Chau;0.9mm;Production;;Mack Tan;2;N/A;-55 +85C;10%;2.2uF;;6.3V;0.0
C1024;https://app.bom.com/a/UCVDWGZGZI1IUB6T?v=files.associations;Capacitor;X5R;PAS - Passives;2006-02-03T15:26:24-08:00;CAP, 2.2uF, 6.3V, 10%, X5R, CERAMIC, 0603;Capacitor;2011-12-02T13:52:33-08:00;0603C;N/A;TAIYO YUDEN CE JMK107BJ225KA-T;CE JMK107BJ225KA-T;MURATA GRM188R60J225KE19D;GRM188R60J225KE19D;;;;;;;Morris Chau;0.9mm;Production;;Mack Tan;2;N/A;-55 +85C;10%;2.2uF;;6.3V;0.0
C1025;https://app.bom.com/a/HZI0J3M3M55TNBEX?v=files.associations;Capacitor;X5R;PAS - Passives;2014-03-16T19:32:12-08:00;CAP, 4.7uF, 6.3V, 20%, X5R, CERAMIC, 0402;Capacitor;2014-06-06T08:29:17-08:00;0402C;N/A;MURATA GRM155R60J475ME87D;GRM155R60J475ME87D;TAIYO YUDEN JMK105BBJ475MV-F;JMK105BBJ475MV-F;;;;;;;Morris Chau;0.65mm;Production;;King Au Yeung;1;N/A;-55 +85C;20%;4.7uF;;6.3V;0.0
C1026;https://app.bom.com/a/J1K2L5O5O7OCQRFG?v=files.associations;Capacitor;C0G;PAS - Passives;2011-05-10T11:01:38-08:00;CAP, 100pF, 50V, 5%, C0G, CERAMIC, 0402;Capacitor;2014-04-28T09:22:48-08:00;0402C;;MURATA GRM1555C1H101JA01D;GRM1555C1H101JA01D;TAIYO YUDEN UMK105CG101JV-F;UMK105CG101JV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +125C;5%;100pF;;50V;0.0
C1027;https://app.bom.com/a/N5O6P9S9SBUCLHCA?v=files.associations;Capacitor;C0G;PAS - Passives;2004-12-21T10:56:53-08:00;CAP, 10pF, 50V, 5%, C0G, CERAMIC, 0402;Capacitor;2012-03-16T13:58:58-08:00;0402C;N/A;MURATA GRM1555C1H100JA01D;GRM1555C1H100JA01D;TAIYO YUDEN UMK105CG100JV-F;UMK105CG100JV-F;;;;;;;Morris Chau;0.55mm;Production;;Kevin Dotzler;2;N/A;-55 +125C;5%;10pF;;50V;0.0
C1028;https://app.bom.com/a/N5O6P9S9SBUCLHCA?v=files.associations;Capacitor;C0G;PAS - Passives;2004-12-21T10:56:53-08:00;CAP, 10pF, 50V, 5%, C0G, CERAMIC, 0402;Capacitor;2012-03-16T13:58:58-08:00;0402C;N/A;MURATA GRM1555C1H100JA01D;GRM1555C1H100JA01D;TAIYO YUDEN UMK105CG100JV-F;UMK105CG100JV-F;;;;;;;Morris Chau;0.55mm;Production;;Kevin Dotzler;2;N/A;-55 +125C;5%;10pF;;50V;0.0
